Paper ID,Type,Limit,Site,Lat,Long,Certainty
109,Point,,22,41.32,9.246,2
198,Point,,2,41.32,18.621,3
109,Point,,6,41.264,2.412,2
999,Point,,BF-250,41.225,-124.108,1
114,Point,,7,41.187,-154.2,1
105,Point,,15,41.117,16.95,1
105,Point,,16,41.117,16.95,1
151,Point,,2,41.033,3.647,1
114,Point,,5,40.95,-156.171,1
207,Point,,4,40.914,150.07,1
115,Point,,5,40.794,-155.14,1
204,Point,,4,40.756,14.14,1
114,Point,,8,40.712,-153.171,1
204,Point,,3,40.697,14.037,1
85,Point,,1,40.693,14.196,2
204,Point,,1,40.689,13.898,1
204,Point,,2,40.689,13.912,1
109,Point,,32,40.672,14.184,2
204,Point,,6,40.605,14.528,1
109,Point,,31,40.587,13.686,2
204,Point,,5,40.575,14.428,1
201,Point,,37,40.526,-125.494,2
151,Point,,3,40.512,2.941,1
218,Point,,55,40.501,17.258,2
218,Point,,56,40.501,17.255,2
218,Point,,57,40.501,17.252,2
218,Point,,58,40.5,17.246,2
218,Point,,53,40.497,17.267,2
218,Point,,54,40.497,17.267,2
218,Point,,52,40.496,17.266,2
218,Point,,59,40.496,17.239,2
218,Point,,51,40.495,17.266,2
218,Point,,60,40.495,17.236,2
218,Point,,49,40.494,17.265,2
218,Point,,50,40.494,17.265,2
218,Point,,48,40.492,17.265,2
218,Point,,47,40.491,17.265,2
218,Point,,46,40.489,17.266,2
218,Point,,45,40.488,17.266,2
218,Point,,44,40.487,17.266,2
218,Point,,33,40.486,17.227,2
218,Point,,34,40.486,17.227,2
218,Point,,35,40.486,17.228,2
218,Point,,36,40.486,17.229,2
218,Point,,37,40.486,17.23,2
218,Point,,38,40.485,17.23,2
218,Point,,39,40.485,17.229,2
218,Point,,40,40.485,17.228,2
218,Point,,32,40.483,17.226,2
218,Point,,43,40.483,17.268,2
218,Point,,31,40.482,17.225,2
218,Point,,41,40.482,17.267,2
218,Point,,42,40.482,17.268,2
218,Point,,30,40.481,17.225,2
218,Point,,27,40.48,17.224,2
218,Point,,28,40.48,17.223,2
218,Point,,29,40.48,17.224,2
218,Point,,23,40.479,17.225,2
218,Point,,24,40.479,17.225,2
218,Point,,25,40.479,17.225,2
218,Point,,26,40.479,17.225,2
218,Point,,16,40.478,17.228,2
218,Point,,17,40.478,17.228,2
218,Point,,18,40.478,17.228,2
218,Point,,19,40.478,17.227,2
218,Point,,20,40.478,17.226,2
218,Point,,21,40.478,17.227,2
218,Point,,22,40.478,17.225,2
218,Point,,10,40.477,17.229,2
218,Point,,11,40.477,17.229,2
218,Point,,13,40.477,17.228,2
218,Point,,14,40.477,17.228,2
218,Point,,15,40.477,17.227,2
115,Point,,4,40.476,-155.698,1
218,Point,,3,40.476,17.232,2
218,Point,,4,40.476,17.231,2
218,Point,,5,40.476,17.231,2
218,Point,,6,40.476,17.23,2
218,Point,,7,40.476,17.23,2
218,Point,,8,40.476,17.23,2
218,Point,,9,40.476,17.229,2
218,Point,,12,40.476,17.229,2
218,Point,,1,40.475,17.233,2
218,Point,,2,40.475,17.232,2
109,Point,,23,40.447,5.106,2
114,Point,,9,40.415,-151.629,1
109,Point,,25,40.39,10.094,2
114,Point,,10,40.356,-150.086,1
114,Point,,11,40.356,-148.029,1
114,Point,,14,40.356,-140.914,1
151,Point,,4,40.328,2.712,1
207,Point,,3,40.321,151.013,1
115,Point,,6,40.317,-152.346,1
201,Point,,36,40.277,-126.206,2
151,Point,,5,40.238,2.631,1
105,Point,,29,40.217,17.85,1
105,Point,,30,40.217,17.85,1
114,Point,,4,40.119,-156.686,1
114,Point,,12,40.119,-146.229,1
143,Point,,92,40.068,-138.857,2
194,Point,,4,40.067,3.572,2
151,Point,,6,40.042,2.379,1
148,Point,,5,40.011,3.796,3
